Timestamp,Participant ID,Briefly describe the experiment you just completed and what you were supposed to do.,Would you have benefitted from more or better instructions?,How familiar are you with this kind of game?,How enjoyable did you find this game?,How difficult did you find this game?,"Did you use a specific strategy for combining resources and items in this game? If so, please describe it.",Do you have any comments about the game or the experiment that you would like to share with the researchers?
4/12/2017 14:22:00,188,play a game in which we had to take resources and make tools out of them for a totem pole,"Yes, I was confused about the task.",2,1,5,not really i just guessed and put random things in the workshop ,It was hard! 
4/12/2017 14:27:30,189,"Picking different combinations of items, trying to make tools, with an end goal of making a totem pole.","Yes, I was confused about the task.",2,2,7,"I tried to think of what I would make out of the stuff that was there, but those combinations didn't work so I ended up just randomly combining all the resources and tools I had made until they made something new.",Say the instructions much more slowly and clearly. It was kind of abrupt.
4/12/2017 15:19:46,190,Build tools in order to make a totem pole,"No, I understood what I was supposed to do.",1,2,6,I tried to pair each tool with another until a new tool appeared,
4/12/2017 15:20:45,191,With the resources we were given we were supposed build tools. From these tools we wanted to build a totem pole. ,"No, I understood what I was supposed to do.",3,2,7,"At first I tried going through each group and seeing how combos would work together. However, after being told it doesn't work for 30 minutes I ultimately gave up and did random stuff near the end. ",n/a
4/12/2017 15:22:57,192,I was supposed to combine resources to create tools to build a totem pole.,"Yes, I was confused about the task.",2,3,5,"I would try each resource with every other resource until I found a combination that worked, and so on with each resource and tool.",It was hard to know how to create a totem pole from the tools I created.
4/13/2017 12:07:31,193,"Use resources given to combine new tools, and the aim is to make up totems to build a ???","No, I understood what I was supposed to do.",1,2,7,just try every possible combination one by one...,"Please specify the biggest amount of resources we will need to use to create a new stuff ( Like, I just use up to two resources to create, and I don't know whether I need to try three). Also, I don't whether two or more same resources will be used."
4/14/2017 13:29:25,194,I was supposed to build a totem pole with the resources that I have; with those resources more resources could be obtained my combining them.,"No, I understood what I was supposed to do.",5,6,6,"First, I went with what my Ancestor knew and from there worked on how to combine more resources using more or less common sense: such as using the berries for paint",
4/14/2017 13:30:22,195,Build a totem pole using the given resources,"Yes, I was confused about the task.",3,4,6,"I tried to think logically about what things would make something together, but then I just started randomly putting them together to see what happened. ",It isn't very easy to understand because so little guidance is given about what items go together to make anything useful.
4/14/2017 13:32:17,196,try to build different tools using certain resources given,"Yes, I was confused about the task.",1,1,6,"I would have one resource in the box and then match it with each other resource one at a time in order to try to make a tool. As the game went on, I tried to use tools I already made to make more tools, but then I realized that wasn't working so I just started randomly putting resources in the boxes.",no
4/14/2017 15:11:09,197,It was a game where i had to make a totem pole using given resources,"No, I understood what I was supposed to do.",1,4,3,looking at the ancestor's tools ,no
4/14/2017 16:02:17,198,Putting together basic resources & tools to eventually construct a totem pole,"Yes, I was confused about the task.",2,3,6,"Not in the beginning, towards the end I just desperately tried every combination I could think of + items by themselves or in duo","Not really. I feel I could've done a lot better if my ""ancestors"" had been a little bit more advanced (Or was that part of the experiment?), or if I had been given some sort of suggested path to follow when trying to build the pole"
4/21/2017 14:02:40,200,Make a totem pole and use the resources to form  combinations to get the items I needed.,"No, I understood what I was supposed to do.",1,2,6,"First I used the ancestors to help me get quick combos, then I tried them by themselves, as a pair, and then with each item. ",
4/21/2017 15:51:57,203,I was supposed to use different combinations to create materials to build the totem pole,"Yes, I was confused about the task.",1,1,7,I tried to do two of each and then match one item with all the others.,
4/24/2017 14:34:39,205,Build resources for a totem pole ,"No, I understood what I was supposed to do.",3,1,6,Used my teammate for help ,Great way to test people's patience and personality types 
4/24/2017 14:34:52,204,Play a game where the objective was to build tools and construct a totem pole,"No, I understood what I was supposed to do.",5,3,5,I assumed the tools built off of each other so I would try every resource one by one until a combination worked out.,The team work aspect was cool.  It wasn't very beneficial to me but I liked that aspect of the game.
4/24/2017 15:21:23,206,Make a totem pole on a game,"No, I understood what I was supposed to do.",2,3,6,I tried many different combinations,No
4/25/2017 11:29:12,207,Create tools from available resources to build a totem,"No, I understood what I was supposed to do.",3,3,5,Tried combining every resource with everything else to see if anything worked,
4/25/2017 15:19:22,208,You were supposed to use and combine the resources you were supplied in order to create a totum pole,"Yes, I was confused about the task.",1,4,6,I combined resources in which I thought would work together in order to develop a product that was like the ones I combined,"Difficult, but I was very intrigued and wanted to solve more"
4/27/2017 11:30:51,209,I was supposed to make supplies with other supplies,"No, I understood what I was supposed to do.",1,4,5,Nothing specific , None
4/27/2017 11:31:51,210,I was asked to build a totem pole with basic resources. Each of the basic resources could be used to make more complex resources. ,"No, I understood what I was supposed to do.",3,4,5,I used what the ancestor used to start. ,No.
4/28/2017 11:12:12,211,I guess try different combination of resources to get tools/,"Yes, I was confused about the task.",1,1,6,Just random order,Nah
4/28/2017 11:14:59,212,I created tools using a set of objects. The objects consisted of natural things that you someone can find in an outdoor environment and the tools were other natural objects that may be used to fix something or complete a task. ,"Yes, I was confused about the task.",,7,7,"I began to combine as many objects as I could, then decided to combine the same object. I then began to use the tools that I had created to combine them with objects or other tools to hopefully create other tools.",I thought this was a very interesting game and it really made me think and kept me engaged.
4/28/2017 12:32:08,213,I had to build a totem from the tools that were given,"No, I understood what I was supposed to do.",2,4,6,I tried to see what ways the ancestor got his/her tools and started replicating that but with different objects.,No
5/1/2017 12:11:51,214,"use the resources given, including the information from the ""ancestor"" and create tools that, using different combinations of them, create other tools and eventually make a totem pole.","No, I understood what I was supposed to do.",1,2,7,no,no
5/1/2017 12:57:58,215,Combine the limitless resources on the left to build tools in order to make a totem.,"No, I understood what I was supposed to do.",1,5,3,I followed what the ancestor did.,No
5/1/2017 14:38:38,216,Supposed to create different tools out of the resources given ,"Yes, I was confused about the task.",1,5,6,"If I had more time, I would have eventually figured out some kind of strategy",Interesting
5/1/2017 15:16:06,219,I was supposed to try different combinations of the given tools to make a totem pole,"No, I understood what I was supposed to do.",4,2,5,I tried to remember what combinations I already tried so I wouldn't waste time. Also checking what player 2 came up with.,no
5/1/2017 15:16:08,218,we were asked to use the resources provided to build tools that would help us to build a totem in order to please the gods.,"No, I understood what I was supposed to do.",4,4,5,"Once I created a new tool, I tried it with all of the other tools that I had to see if it would create any new combinations.",
5/1/2017 15:18:29,217,I'm supposed to make new elements by using existing elements.,"Yes, I was confused about the task.",2,2,4,"At most, I tried to combine two different resources and see what happens. I sometimes try combining three or more resources.","I'm curious if there's other ways of making new resources beside what is told by the ""ancestor""."
5/2/2017 11:42:06,221,"
Combine different objects to create tools to use to build a totem pole. You could also look at what your teammate had accomplished. ","No, I understood what I was supposed to do.",3,3,7,I tried remembering every pattern that I did so I wouldn't do the wrong one twice. I also looked at what my partner had completed. ,Nope! :) 
5/2/2017 11:42:13,220,Discover combinations of resources to make more tools and more subsequent resources.,"No, I understood what I was supposed to do.",3,4,6,I was not able to find a successful strategy beyond guess and check. ,Nope! 
5/3/2017 11:33:01,222,to try to combined different materials into tools and use them to build totems,"No, I understood what I was supposed to do.",3,6,7,See what the ancestors have built,know the names of the tools may be helpful
5/3/2017 13:31:18,223,share resources and create a totem,"No, I understood what I was supposed to do.",1,7,6,"common sense, survival strategy.",no
5/3/2017 15:03:16,224,Use simple elements to create tools and build a totem poll with help from past work,"No, I understood what I was supposed to do.",7,7,6,I tried to create tools that would allow me to chop down the big tree by refining stone and making materials to help like rope.,Fun but very difficult
5/3/2017 15:44:48,227,We had to combine resources to in order to build a totem.,"No, I understood what I was supposed to do.",2,3,6,No. I actually lacked in contributing as my partner did most the work.,Nope!
5/3/2017 15:45:38,228,We were supposed to construct a totem pole based on starting materials that could be used in combination to create new material that would help make the totem pole.,"No, I understood what I was supposed to do.",5,7,7,"I knew that we would have to make some sort of device to chop the tree down to get wood for the totem pole, so I tried to use logic to work it out.","It was a really fun game, very rewarding to find things out."
5/3/2017 16:29:03,232,build a totem but making your own tools using common resources,"No, I understood what I was supposed to do.",2,4,6,trial and error,give a hint section
5/3/2017 16:29:54,234,Use resources to build new tools for a totem pole,"No, I understood what I was supposed to do.",2,1,6,,
5/3/2017 16:31:37,233,"We were given a limited amount of ""resources"" on a computer game and were required to try different combinations in order to make ""tools"", then to use combinations of either one of these selections to try to continue to make a totem.  It was very difficult.","No, I understood what I was supposed to do.",5,3,6,"You can try patterns of different combinations, 1 with 1, 1 with 2 etc.  That strategy worked until a certain point.",No.  It is more difficult than I had anticipated.  Having a group made it a lot easier to be honest.  Could see what they were doing and go from there.
5/3/2017 16:31:53,231,"put the resources in the workshop and then it will create some tools. Again and again. It may generate new resources. Finally, we can get Toldem(i don't remember what it's called).","No, I understood what I was supposed to do.",5,2,6,no. just randomly put them together.,So desperate at the ens.
5/3/2017 17:16:48,235,In this experiment I had to put different resources together in order to form tools to make a totem pole.,"Yes, I was confused about the task.",3,1,6,"Not really, I did not really understand how to do it so I guessed a lot. ",It was hard and I should have gotten better instructions before hand.
5/4/2017 9:37:19,236,build a totem pole with different items,"No, I understood what I was supposed to do.",1,1,6,follow the ancestor,it was frustrating
5/4/2017 11:31:25,239,I was assigned to make a totem using tools that were supposed to create the building blocks of the totem. ,"No, I understood what I was supposed to do.",4,2,6,"When I made a new tool, I tried using it in combination with the resources given.",No
5/4/2017 11:31:27,238,making tools with the resources available in order to make a totem pole to serve to the gods to bring food.,"No, I understood what I was supposed to do.",4,4,4,some i made the same tool and combined them and they made another tool other you put together and they cut down trees and such,did not know what to do with fruit and wish i knew how to make it into a tool. 
5/4/2017 11:31:57,237,"In the experiment, my partner and I  had to use resources that we already had to create new tools to create a totem pole.","No, I understood what I was supposed to do.",4,3,5,Try using the same resource twice to create a new one and constant checking in on my partners resource box ,N/A
5/4/2017 11:45:11,240,Using given resources to create tools to form a totem pole,"No, I understood what I was supposed to do.",1,1,7,"Tried to think realistically, what combinations could have worked in real life (i.e. combining the bone tool and berries to mash up the berries and create a color)",No
9/12/2017 15:02:14,243,it's like a cheap version of minecraft,"No, I understood what I was supposed to do.",7,7,7,keep trying ,
9/12/2017 15:03:42,245,I had to build the best totem pole by using a range of tools and then finding different arrangements of using these tools. ,"No, I understood what I was supposed to do.",1,6,6,"No, I kind of just did random combinations when I was trying myself. Otherwise, I would just look and see what other people had done.",No
9/12/2017 15:03:44,242,Create a totem by putting together items while looking at your groups moves ,"No, I understood what I was supposed to do.",4,3,4,,
9/12/2017 15:05:43,244,"It's a about how to get larger variety of tools by combining the resources I have, I was supposed to think about how to get new tools using the resource I have.","No, I understood what I was supposed to do.",6,6,3,I supposed that there may be some ways that related to the reality and use common sense can help us,It's fun game I really enjoy it
9/12/2017 15:51:40,246,I was supposed to build a totem pole and it tested my thinking skills.,"No, I understood what I was supposed to do.",5,1,6,There was no specific strategy just attempted a lot of combos.,This game sucks
9/12/2017 15:53:26,9077487701,We were just making some tools and combination of some basic resource we have from the nature to build a totem for a remote small tribe.,"No, I understood what I was supposed to do.",6,6,7,I just use different resource and new tools I just made to find if I can a new item for the totem.,It was really difficult and I got stuck when I just combine most of the basic tools. I was stuck in there for more than 15 minutes and cannot figure it out hahaha. But it is really an interesting game.
9/13/2017 12:31:33,248,"Ordering, organization? ","No, I understood what I was supposed to do.",1,2,6,Like the permutation in Maths,"Do not show how to make new materials from my team, otherwise, I will just copy them"
9/13/2017 12:31:59,249,We had to try and assemble a totem pole out of multiple resources by combining different ones.,"No, I understood what I was supposed to do.",4,5,7,I tried to look if there was a pattern or if there were reasonable resources that would go together to make something but it was very hard.,"It was good, glad there was a timer cause we were stuck as a team for a while."
9/13/2017 12:32:20,251,I had to take various objects and combine them in order to make new objects to create a totem pole. Throughout the game I was also able to look at my teammates creations and learn from what they have made. The ultimate goal was to build a totem pole. ,"No, I understood what I was supposed to do.",6,2,6,"I attempted to use one object and combine it with each thing possible. But, it was hard to keep track of what I tried and what I did not try so I ended up trying to guess. ","I noticed that once someone did discover something new, everyone else seemed to also use the ability to see each other's discoveries and add that discovery to their own collection. Everyone also seemed to discover things in the same order. "
9/13/2017 12:33:14,250,we were given resources to use and we had to use those resources to create other objects and eventually use those objects to make our way up to building a totem pole.,"No, I understood what I was supposed to do.",5,4,7,I tested all the combinations I could think of and made all the objects I could then started combining them to make more objects.,maybe hints when students are stuck
9/13/2017 13:18:29,254,We were supposed to craft totems from the given resources,"No, I understood what I was supposed to do.",4,5,5,,
9/13/2017 13:18:44,253,I was tasked with creating a totem pole out of very basic elemental materials. The idea was to try to match the elements to create more advanced tools to make the totem pole more decorated or impressive.,"No, I understood what I was supposed to do.",5,5,5,,
9/13/2017 13:19:00,252,The goal was to find combinations using a set of items to build a totem pole.,"No, I understood what I was supposed to do.",2,2,6,I just clicked on items that looked like they would go together. ,The game would be a lot harder alone.
9/14/2017 12:54:47,9077409473,tried to create new materials using the original ones,"No, I understood what I was supposed to do.",1,5,4,,
9/14/2017 12:55:41,256,I was supposed to use teamwork in order to build a totem pole,"Yes, I was confused about the task.",2,2,4,Once I made a specific tool that involved many combinations I would make two of them so I would be prepared,
9/14/2017 12:55:43,257,,"No, I understood what I was supposed to do.",2,7,4,Combining higher class stocks with the newly created stock usually end up with another new stock. Basic knowledge needed.,Great game design.
9/14/2017 12:56:31,258,"using different, basic materials, we had to build/form other products that would help us complete the task of building a totum pole. ","No, I understood what I was supposed to do.",1,4,5,At the beginning i used guess and check a lot... I also looked at what other players were doing. By the end of the game i was thinking logically about how to form materials,I think it was a good way to see the way that different people think and stratigize. 
9/14/2017 15:12:03,262,I was supposed to create a totem pole out of different materials,"Yes, I was confused about the task.",2,2,6,"I just tried to combine everything in order, starting with the top right item, and working my way down from there. ",
9/14/2017 15:12:11,259,build a totem with 6 basic parts ,"No, I understood what I was supposed to do.",2,4,3,trial and error ,no
9/14/2017 15:12:24,261,Build a totem pole given the limited resources provided,"No, I understood what I was supposed to do.",1,4,5,"At first trying any combo, then I used logic to figure things out",no
9/14/2017 15:12:27,260,I was supposed to build a totem pole with natural resources.,"No, I understood what I was supposed to do.",5,1,2,Not really,nope
9/15/2017 11:57:31,263,The task was to build tools to build a totem pole on an online game using the materials it provided in certain combinations.,"No, I understood what I was supposed to do.",2,6,6,"At first I just randomly combined them or thought logically about what tools would be used to build other tools, but when I got stuck I systematically went through every  combination of two, and then got partially done with every combination of three.","This was a fun game, although frustrating at times, and definitely would be easier to complete in a team!"
9/15/2017 11:57:56,264,"I had to build a totem pole with the resources I was given. The resources, when combined in the right order, would make tools used to build the totem pole. I had to make the pole tall and as most decorative as possible. ","No, I understood what I was supposed to do.",1,2,7,"I tried every single combination of resources and tools, including trying to use two tools at once and one resource to try and build something new. ",It eventually seemed impossible to make any more tools. 
9/15/2017 11:59:03,265,We were supposed to use certain resources to create other tools and from those tools we were supposed to create a totem pole.,"No, I understood what I was supposed to do.",2,2,7,I tried to systematically try all the combinations of resources and tools together but it didn't work out too well. ,
9/15/2017 12:57:57,266,Make tools to be able to make totum poles. ,"No, I understood what I was supposed to do.",1,1,7,I just tried to do every possible combination I could think of. ,"I am not sure how to eventually put together a totum, just how to make tools."
9/15/2017 12:58:07,268,I was suppose to use various resources to build certain tools in order to make the totem pole.,"Yes, I was confused about the task.",1,2,6,I tried various combinations that I could think of and sometimes would see what happened combining the same resource.,"It was very challenging, but also interesting"
9/15/2017 12:58:25,267,It was an experiment to see if I could build a totem pole out of the materials that I was given. ,"No, I understood what I was supposed to do.",1,4,6,I was honestly just plugging things in.,Nope!
9/15/2017 13:34:15,272,use guess and check in order to create new materials and then use those materials to make better materials to build a totem,"No, I understood what I was supposed to do.",7,4,5,i looked at the ancestor chart and went from there,no
9/15/2017 13:34:26,271,I was supposed to build a totem poll with various tools and resources I had.,"Yes, I was confused about the task.",1,1,7,I just looked at how the ancestor made his tools but I was only able to make three tools based off of that.,"No, I wish there was better instructions, that's all."
9/15/2017 13:39:28,270,"This experiment looked at my ability to problem solve, I was supposed to build a todem pole","No, I understood what I was supposed to do.",3,2,5,No,No
9/15/2017 13:39:53,269,We were given resources and were supposed to create tools to help us make a totem pole. We would drag the 6 given resources into a box and attempt to create more.,"Yes, I was confused about the task.",1,2,3,No I did it randomly.,
9/15/2017 14:21:18,274,The experiment was to use natural resources and to use them to build useful tools. Eventually those tools were supposed to be used to build a totem pole.,"No, I understood what I was supposed to do.",4,6,6,I tried to think of combinations that might make sense in the real world and used those. I also attempted to make duplicates of the same resource or tool.,Very difficult game that takes a lot of focus and memory at times. Enjoyed playing this game despite difficulty.
9/15/2017 14:21:38,276,In the experiment we were supposed to work with a bunch of resources in order to create other tools and resources to make a totem.,"No, I understood what I was supposed to do.",3,6,6,"I just tried thinking of things that would normally go together to create things, like  thin straws of wood to make a rope. I just pretty much thought about all the things that are created in the world today and was trying to figure out how I could recreate them using the resources I had at hand.","No, it was just interesting and I am curious to what the right combinations were, but overall it was enjoyable."
9/15/2017 14:21:52,273,"The experiment involved finding different combinations of ""resources"" to make them into ""tools"". We were supposed to try combinations until they turned into tools, but we were given instructions of how others made tools to add to our score. ","No, I understood what I was supposed to do.",3,2,4,"I started out pretty much just randomly putting resources in, but toward the end I was canceling certain combinations out. ",Not that I can think of. 
9/15/2017 14:22:32,275,"We needed to correctly group sets of items in order to produce new ones, which we could then use to create even more combinations. The end goal was to have the correct combination of items required to make a totem pole.","No, I understood what I was supposed to do.",3,2,6,I tried to think about real-world uses for each item in order to help me form associations between them. This technique was not very reliable.,
9/15/2017 15:05:53,277,build a totum,"Yes, I was confused about the task.",1,2,3,creep on the other player and see how they figure out,"the room is really hot in here, may be a bit ac next time?"
9/15/2017 15:06:43,280,Build tools and make a totem pole,"Yes, I was confused about the task.",1,3,5,I used the ancestor instructions to make the tools. ,
9/15/2017 15:07:23,278,Basically it is to construct materials with some basic elements.,"No, I understood what I was supposed to do.",1,5,6,"First I tried to find some logical combination of things. But after I found it so difficult, I just make math combinations.",None.
9/15/2017 15:07:48,279,I was supposed to combine resources to create a totem to please the gods and save my tribe.,"No, I understood what I was supposed to do.",4,4,5,I thought about what I needed and what combos would most likely get me the resources I did need.,It was neat.
9/18/2017 12:34:27,284,,"Yes, I was confused about the task.",5,5,7,,
9/18/2017 12:34:27,281,I was supposed to make as many resources as I could with the given items. ,"Yes, I was confused about the task.",2,3,3,No,No
9/18/2017 12:34:45,282,We had to use given resources in order to create new tools to build a totem. ,"No, I understood what I was supposed to do.",2,1,4,I looked at how other players were building their resources. ,
9/18/2017 12:34:51,283,build a timber pile,"Yes, I was confused about the task.",5,4,5,no,
9/18/2017 13:15:25,286,Use a variety of resources to develop a totem pole.,"No, I understood what I was supposed to do.",4,2,5,,I wish it was easier to complete the task.
9/18/2017 13:16:07,287,We were tasked with using unlimited resources in order to create a totem pole.,"No, I understood what I was supposed to do.",3,4,7,The only strategy I used was to try and hit every possible combination of items together.,No i do not.
9/18/2017 13:17:00,285,Try different combinations of resources to make stocks and combine stocks and resources to build the tempo.,"No, I understood what I was supposed to do.",3,3,6,Fix one item and try the other one,no
9/18/2017 13:17:29,288,Mix materials together to create new material or tools,"Yes, I was confused about the task.",2,2,4,"No, I just checked other players methods.",I need more clues maybe....
9/19/2017 13:02:36,290,I had to match certain resources with each other in order to create new resources to be used to make a totem pole,"Yes, I was confused about the task.",1,2,4,No.,"It was more enjoyable once I understood what had to be done, however when I got stuck it was very frustrating and confusing."
9/19/2017 13:02:58,289,I'm supposed to build a totem based on the resources that I have.,"No, I understood what I was supposed to do.",2,7,3,"I make sure that I paired up each of the resources at least once, just to know if it will work or not.",No
9/19/2017 13:04:42,292,The experiment was an interactive game that allowed up to four players (each playing separately in their individual rooms) to work together to create resources and build a totem pole. Worked to put different combinations of resources together. ,"No, I understood what I was supposed to do.",3,6,5,"At first, I was trying all the different combinations and monitoring my teammates and their progress. Once they discovered a new resource, I was able to look up the combination myself and create the object. ",The game was enjoyable and challenging to a degree of finding the totem pole components. 
9/19/2017 13:05:21,291,I was asked to play a computer game in which I was supposed to create a totem pole when given certain resources. I had to try to create different tools from my resources given in order to create the totem pole.,"No, I understood what I was supposed to do.",2,2,5,I used trial and error until I had a better understanding of how the game worked then I used strategy to try and create different tools from the resources given. I also looked at what resources the other players had made to give me some direction as to what different combinations of resources and tools worked together.,The game was definitely more frustrating for me than it should have given how simple it looked.
9/19/2017 13:46:38,294,I had to use the resources to build totems,"No, I understood what I was supposed to do.",1,6,6,"No, I just go with my instincts",
9/19/2017 13:47:14,296,i was supposed to make resources out of the limited resources that i started with by combining them to complete a totem pole.,"Yes, I was confused about the task.",1,3,6,trial and error,fun game
9/19/2017 13:47:23,293,It was a computer game where we had to put together totem poles by using the tools that were given to us to make a totem pole and you were collaborating with 3 other people to see what they were doing and how they got certain tools.,"No, I understood what I was supposed to do.",1,4,5,Yes I was using what the other participants were figuring out what they were doing and they were helping me make new things. ,
9/19/2017 13:48:13,295,"In this experiment, you had to create combinations of the resources provided in order to create pieces to make a totem pole","No, I understood what I was supposed to do.",1,4,6,I just combined the resources at random. I should have come up with more of a strategy. ,"Even though I did not make it very far, I still enjoyed the game"
9/19/2017 14:35:22,297,We were directed to construct materials for a totem pole,"No, I understood what I was supposed to do.",1,5,5,"other than certain logic, certain combinations were quite vague",n/a
9/19/2017 14:36:01,298,combine different components to create a totem and get points,"No, I understood what I was supposed to do.",4,2,7,No,No
9/19/2017 14:36:10,299,Create tools to make a totem pole. ,"Yes, I was confused about the task.",1,1,7,I used the ancestors achievements to create tools. ,This game is hard and confusing. 
9/25/2017 12:33:59,301,we were given material to combine together in order to make a totem,"No, I understood what I was supposed to do.",2,3,5,I tried to combine each item with each other and go through each pair,
9/25/2017 12:34:07,302,Build tools in order to get points and create a totem pole.,"No, I understood what I was supposed to do.",3,6,5,Not really,
9/25/2017 12:35:16,303,I used a limited amount of resources to create tools,"No, I understood what I was supposed to do.",1,2,5,I tried to combine every item with each other and then with new items,"Once I became frustrated with the task, I purposely waited for the other players to earn points and then I followed what they did"
9/25/2017 12:36:25,304,"Using a computer program we had to mix the items that were given in the program to make better items, the better the items the more points. The end goal was to make a totem pole with the items.","No, I understood what I was supposed to do.",2,2,6,"I tried out a combination on every item, I also kept track of other people's points because I could see how they got them and match their points.",
9/25/2017 13:16:01,305,Use resources to create more resources,"No, I understood what I was supposed to do.",3,5,7,Making random combonations,no
9/25/2017 13:16:20,306,We played a game where we were supposed to build tools using materials in order to create a totem pole,"No, I understood what I was supposed to do.",3,1,6,I just copied what the other players did,It was extremely difficult
9/25/2017 13:16:55,307,I was supposed to combine different objects  such as tools and resources to make tools an eventually to make a totem pole which I didn't get to. ,"No, I understood what I was supposed to do.",7,5,6,I would keep one item in the workshop and then go through the items I had and put them in there. ,I have played games like this and this specific one was harder to find combinations. 
9/25/2017 13:16:59,308,create new material with some tools that were given ,"Yes, I was confused about the task.",3,3,5,i tried to arrange stuff with new tools created by me,
9/25/2017 14:00:55,309,Match together different resources in order to create tools of a totem poll.,"Yes, I was confused about the task.",1,2,5,I just tried different combinations by starting with one and matching it with each other resource,n/a
9/25/2017 14:01:13,311,We were supposed to build a totem pole for the gods because of the scarcity of food. ,"No, I understood what I was supposed to do.",1,1,5,I just did what the other players did and tried to come up with unique combinations. ,
9/25/2017 14:01:30,312,"I was supposed to test different combinations of materials and try to progress, ultimately creating a totem pole.","No, I understood what I was supposed to do.",4,6,6,"Not really, I was just trying a bunch of different combinations.",N/A
9/25/2017 14:02:58,310,"In this experiment I was told to construct a totem pole with a combination of materials that can be merged together to form new materials, unknowing the combination of materials that was needed to produce a certain thing.","No, I understood what I was supposed to do.",2,3,6,"The strategy that I used was to designate certain materials that I put at the bottom in the workshop, and then basically did guess and check with all the materials and tried to find which materials produced a product.","I think that it would make it slightly easier as a subject if the materials weren't drag and drop, and you could click on what materials you wanted to put into what spot. As well as, have more spots than 12 in the finished product section."
9/26/2017 9:33:42,316,I was supposed to explore different combinations of resources to build a totem,"No, I understood what I was supposed to do.",3,1,7,no,My ancestor has so little information for me
9/26/2017 12:02:45,317,I had to utilize my resources to built tools in order to ultimately build a totem pole to pray to the gods. ,"Yes, I was confused about the task.",1,3,7,try to utilize the tree and the wood as much as possible. also rock combos work,no
9/27/2017 10:00:24,319,The goal was to create tools to build a totem pole from the given resources to honor the gods. ,"Yes, I was confused about the task.",3,2,6,I just went down the list making combinations and seeing which ones worked or not. ,
9/27/2017 10:03:34,318,In the game the goal was to build a totem to please your gods. You had to use whatever resources you have to make tools to then build your totem.,"No, I understood what I was supposed to do.",1,5,6,At first I was just putting random things together to see if I got any result and once I had a few things under my belt I decided a faster approach would be good and put together things that I thought would make sense to put together but my method was inconsistent and it started to all just feel random so then I abandoned common sense and just went for as many combinations as I could.,It was a refreshing challenge. I want to know how to finally build the totem poll.
9/27/2017 12:40:22,322,Mix and match different materials to form tools and create a totem pole to appease our gods,"Yes, I was confused about the task.",2,2,3,I used what would logically make sense in real life for example the ax and the tree gives you a certain cut of wood,
9/27/2017 12:42:13,323,"I was asked to build a nice totem to satisfy ""the God"". I need to try to use the resources in one tool bar to build things, store them, and build totem with them.","Yes, I was confused about the task.",1,7,5,"No, I just try everything out. And I watch what the other people do, and imitate.","Some combinations didn't seem so reasonable in real life, so I was thinking you just need to try everything out."
9/27/2017 12:42:51,321,I had to make a totem out of various objects. I had to put objects together to make new tools to help build the totem pool.,"No, I understood what I was supposed to do.",2,4,5,"no, just randomly put things together hoping for the combinations to work.","I was confused at first on how to get the new tools, but then I figured it out and knew what I was doing. So maybe if we had the instructions to refer to as we were playing the game it would've been better."
9/27/2017 12:43:06,320,"We had several resources that we could manipulate to create tools. The tools were used to craft totems to ""please"" the gods.","No, I understood what I was supposed to do.",5,6,5,I thought about how the different tools would be used in a practical sense to create other resources to make the totems. I also tried to craft new tools by testing newly crafted tools with the different resources and existing tools.,It was challenging and fun.
9/27/2017 13:21:02,325,I was supposed to use materials to create more materials to build a totem pole,"Yes, I was confused about the task.",1,2,6,"Not really, I tried to combine them all in different ways",There weren't enough instructions
9/27/2017 13:21:34,326,We were playing a computer game that had us try to build a totem pole,"No, I understood what I was supposed to do.",2,3,7,"I tried to think logically about how things could be built. Mostly, when one of the other players figured something out, I was quick to copy them.",I enjoyed this experiment
9/27/2017 13:21:48,324,Combine resources to make new tools.,"Yes, I was confused about the task.",1,2,7,"At first I had absolutely no idea what I was doing and didn't know that I could look at other people's so I was very stuck.  After I saw others people's I could understand the task, but it was still hard to figure out what to put together.",
9/27/2017 13:23:37,327,We were supposed to make a totem pole out of basic resources. We had to do this by combining the resources to make other objects. These objects would then be used to make other objects that got us closer to making the totem pole.,"No, I understood what I was supposed to do.",6,5,5,"Often you had to combine two of the same material or ""break"" it up. ",No
9/27/2017 14:08:04,331,It was a game to combine items and create a totem.,"Yes, I was confused about the task.",4,4,7,Hit and trial,
9/27/2017 14:08:09,329,combined different tools to make a totem ,"Yes, I was confused about the task.",1,1,1,A bunch of guess and check ,
9/27/2017 14:08:35,330,We were supposed to create tools to help make a totem pole.,"No, I understood what I was supposed to do.",2,6,6,I tried any combinations that I possibly could.,
9/27/2017 14:08:44,328,I was supposed to make combinations of resources that can add up to different things and get points from it. I was supposed to make a totem pole at some point but I was unable to get there.,"No, I understood what I was supposed to do.",2,4,7,I just did all sorts of combinations.,N/A
9/28/2017 9:32:35,332,We were told to use our resources to build a totem pole.,"No, I understood what I was supposed to do.",1,3,6,I used the other people's combinations if I was stuck and random choice.,
9/28/2017 9:32:44,333,We were given resources and instructed to use them/combine them to make other resources to build a totem. We were working in a team of four to find new materials out of those given to us.,"No, I understood what I was supposed to do.",3,7,6,"When one resource worked, I tried combining it with all the other known resources, including itself.",I want to finish playing!
9/28/2017 9:32:53,335,I had to place objects in the workshop and try to make a right combination between the supplies to make new tools. ,"Yes, I was confused about the task.",2,2,6,I tried to use the new tools as parts of making even more new tools,
9/28/2017 9:33:11,334,find more combination of each tools ,"No, I understood what I was supposed to do.",2,5,4,use possibilities to find which more combinations,"no, it's fun"
